30minutesgalaxy.txt
10240	63470	46958	3	123
51968	65535	46958	34	77
20992	53666	47732	3	178
55040	34573	41281	35	40
10240	63470	46958	43	143
55040	34573	41281	28	220
51968	65535	46958	107	39
20992	53666	47732	30	329
20992	53666	47732	72	76
51968	65535	46958	75	78
10240	63470	46958	2	113
51968	65535	46958	79	37
2304	52376	37927	102	43
51968	65535	46958	145	193
51968	65535	46958	113	112
51968	65535	46958	33	81
51968	65535	46958	42	145
20992	53666	47732	37	36
55040	34573	41281	38	41
51968	65535	46958	224	81
2304	52376	37927	40	38
51968	65535	46958	38	38
55040	34573	41281	151	37
51968	65535	46958	34	112
55040	34573	41281	109	115
55040	34573	41281	39	79
10240	63470	46958	74	34
51968	65535	46958	36	192
10240	63470	46958	36	42
10240	63470	46958	35	120
10240	63470	46958	118	304
51968	65535	46958	37	38
20992	53666	47732	2	220
10240	63470	46958	38	75
55040	34573	41281	36	40
55040	34573	41281	38	293
10240	63470	46958	37	40
55040	34573	41281	72	226
51968	65535	46958	38	118
55040	34573	41281	36	36
20992	53666	47732	2	39
55040	34573	41281	35	41
55040	34573	41281	115	232
51968	65535	46958	37	331
10240	63470	46958	2	73
2304	52376	37927	33	79
51968	65535	46958	34	116
10240	63470	46958	36	404
55040	34573	41281	69	39
10240	63470	46958	38	39
55040	34573	41281	39	38
10240	63470	46958	34	79
51968	65535	46958	37	79
51968	65535	46958	39	107
51968	65535	46958	141	159
10240	63470	46958	107	80
51968	65535	46958	35	117
55040	34573	41281	2	258
51968	65535	46958	67	39
2304	52376	37927	40	288
10240	63470	46958	40	38
20992	53666	47732	3	71
55040	34573	41281	39	112
20992	53666	47732	37	36
55040	34573	41281	40	37
2304	52376	37927	2	290
10240	63470	46958	2	451
55040	34573	41281	32	70
51968	65535	46958	2	42
51968	65535	46958	39	114
51968	65535	46958	34	72
55040	34573	41281	155	190
55040	34573	41281	36	74
2304	52376	37927	73	40
51968	65535	46958	37	37
2304	52376	37927	32	225
2304	52376	37927	72	80
51968	65535	46958	74	153
55040	34573	41281	76	117
51968	65535	46958	37	113
51968	65535	46958	75	217
55040	34573	41281	112	36
2304	52376	37927	36	71
55040	34573	41281	40	220
51968	65535	46958	36	35
51968	65535	46958	40	106
55040	34573	41281	79	38
2304	52376	37927	36	42
55040	34573	41281	105	192
55040	34573	41281	81	116
55040	34573	41281	35	212
51968	65535	46958	29	41
51968	65535	46958	115	298
51968	65535	46958	77	72
2304	52376	37927	37	42
55040	34573	41281	41	37
20992	53666	47732	222	72
55040	34573	41281	38	35
55040	34573	41281	37	114
55040	34573	41281	107	146
20992	53666	47732	2	40
55040	34573	41281	37	111
51968	65535	46958	41	38
55040	34573	41281	39	36
10240	63470	46958	32	77
51968	65535	46958	32	115
55040	34573	41281	37	75
51968	65535	46958	221	153
